policy,target,train_seed,unsafe_rate,false_alarm_rate,realized_escalation,conditional_risk,miss_rate
physics_residual_margin,0.2,4101,6.818181818181818e-06,5.905034286256818e-06,0.1687219696969697,2.739957501298788e-05,9.103665544206818e-06
physics_residual_margin,0.2,4201,9.848484848484848e-06,8.828842313783334e-06,0.1642878787878788,3.9063415845431815e-05,1.3197892494822727e-05
physics_residual_margin,0.2,4301,7.575757575757576e-06,1.8152692650014393e-05,0.1650098484848485,3.065947667287727e-05,1.0082858132094696e-05
spread_norm,0.05,4101,0.16113192665175474,0.033771398998797254,0.0531,0.25168851848035845,0.24358178563845687
spread_norm,0.05,4201,0.1616229806354946,0.03226796337699833,0.05553333333333333,0.2517477382070285,0.2440215606202856
spread_norm,0.05,4301,0.16265120184378215,0.03273217982271113,0.04986666666666666,0.25266218232277476,0.24594088098493377
spread_norm,0.1,4101,0.1480839336885775,0.02551535413927621,0.1039,0.23878085767308055,0.22038039627833267
spread_norm,0.1,4201,0.15022922677588543,0.02447929574662,0.1024,0.2405888028336815,0.22399130570473078
spread_norm,0.1,4301,0.1501895120161296,0.024042468634692005,0.09896666666666666,0.24018015782263533,0.2236049069086342
spread_norm,0.2,4101,0.12287299406369387,0.013592769127125065,0.2091666666666667,0.21394002137676613,0.17857273386559983
spread_norm,0.2,4201,0.12886968510739527,0.01386325179557317,0.1985,0.21998451576922043,0.1886002186611832
spread_norm,0.2,4301,0.12708765960571666,0.012017119086150536,0.19896666666666668,0.21739027395911945,0.18495297603695152
