policy,physics_variant,target,unsafe_rate,unsafe_rate_worst_topology,unsafe_rate_seed_min,unsafe_rate_seed_max,false_alarm_rate,false_alarm_rate_worst_topology,false_alarm_rate_seed_min,false_alarm_rate_seed_max,realized_escalation,realized_escalation_worst_topology,realized_escalation_seed_min,realized_escalation_seed_max,conditional_risk,conditional_risk_worst_topology,conditional_risk_seed_min,conditional_risk_seed_max,miss_rate,miss_rate_worst_topology,miss_rate_seed_min,miss_rate_seed_max,topologies,rows,unsafe_model_evaluations,false_alarm_model_evaluations,resolved_model_evaluations
nn_approval_signed_physics,impedance_0.8,0.1,0.04269455143105269,0.08988888888888888,0.04209811360439418,0.04299917973289256,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.17567121212121217,0.5596222222222222,0.17475151515151516,0.17721060606060607,0.10671943239861853,0.3189438072676686,0.10547974779240188,0.10737662479395972,0.07745814331684242,0.17321516378078539,0.07641403828730618,0.07798538878994801,44,396,168823,87944,3953055
nn_approval_signed_physics,impedance_0.8,0.2,0.021336858359442126,0.04362222222222222,0.021151210064363612,0.021563077846150996,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.24372651515151508,0.5817222222222223,0.2428287878787879,0.24459469696969693,0.05848612547291287,0.1924450805842684,0.05800635730947975,0.05905390088218854,0.039247547349935824,0.08429600084917736,0.038910152645656476,0.03965297527245568,44,396,84368,87944,3953055
nn_approval_signed_physics,impedance_0.9,0.05,0.025191295749990718,0.05018888888888889,0.024595169403769185,0.025601988979119528,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.17484393939393938,0.5709444444444445,0.17347272727272725,0.17655454545454544,0.06716581187966054,0.2171714231786181,0.06579930910069261,0.06813027976685083,0.046966990467747396,0.10212731999895877,0.04585336071271836,0.047727910828502224,44,396,99611,87944,3953055
nn_approval_signed_physics,impedance_0.9,0.1,0.015086570010876101,0.029611111111111112,0.014644407546451438,0.015318227298265714,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.20728535353535352,0.5806444444444444,0.20629318181818182,0.20895757575757576,0.04264965276115675,0.1480521925106644,0.04152259777844882,0.04324409495156285,0.028075964462501723,0.06255562587973465,0.027245283504911243,0.02851337574453904,44,396,59651,87944,3953055
nn_approval_signed_physics,impedance_0.9,0.2,0.0020199925256445734,0.004966666666666666,0.0019607382428325484,0.0020921689483414017,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.279149494949495,0.5976555555555555,0.278219696969697,0.28004772727272725,0.006884536746917031,0.03502067614932916,0.006691270249582867,0.007117156997535634,0.003552881540505183,0.007624128901235489,0.0034440756635796825,0.0036859314991820606,44,396,7980,87944,3953055
nn_approval_signed_physics,impedance_0.95,0.05,0.010920619021226709,0.021544444444444442,0.010392524040418427,0.0112847015342111,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.1910181818181818,0.5809111111111112,0.18956969696969697,0.1928462121212121,0.03192521048337744,0.12091855096421027,0.030565595980323053,0.0328601162308713,0.02027145158410226,0.044637694901331786,0.01926759257889721,0.020965060434966286,44,396,43173,87944,3953055
nn_approval_signed_physics,impedance_0.95,0.1,0.00359085712107309,0.00871111111111111,0.003346438944878613,0.003719854385559735,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.22486641414141414,0.5889555555555556,0.223880303030303,0.22652651515151515,0.012049212613285063,0.058411999300957924,0.011322541275309215,0.012428824832811502,0.0063312360527475854,0.012849238198280023,0.005877429432692132,0.006571459384177263,44,396,14187,87944,3953055
nn_approval_signed_physics,impedance_0.95,0.2,8.080318576932122e-05,0.0007777777777777778,7.92880342541697e-05,8.383348879962424e-05,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.2974012626262626,0.6032555555555555,0.29647348484848485,0.29829545454545453,0.00041366926006436314,0.0037381847086093664,0.00040592029087937955,0.0004290544043079341,0.00010482673835702071,0.0010434172316349999,0.00010289228382791515,0.00010869564741523182,44,396,318,87944,3953055
nn_approval_signed_physics,impedance_1.05,0.05,0.00015537177725087728,0.0016777777777777778,0.00014855359543269547,0.00016067480755390756,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.2265457070707071,0.5951333333333334,0.22506136363636361,0.22841212121212123,0.0007769633519192624,0.0067206085599475,0.0007474382220682416,0.0007994143901564069,0.00020248439697610608,0.0022520749420827666,0.00019345266149414016,0.00020958356342964016,44,396,612,87944,3953055
nn_approval_signed_physics,impedance_1.05,0.1,5.669776697173914e-05,0.0006555555555555555,5.467756495153712e-05,5.770786798184015e-05,0.044887092987867576,0.21214122543261477,0.044642320999857425,0.04501205050261633,0.2609262626262626,0.6006888888888889,0.25992727272727273,0.2626060606060606,0.0002585846724172444,0.003098701975194722,0.0002501802577354,0.00026286666728107425,7.472216161735e-05,0.0008409333776457001,7.203908915560454e-05,7.606369784822272e-05,44,396,224,87944,3953055
